2025-05-20 18:05:47,891 - __main__ - INFO - Starting detailed monitoring with interval 5s
2025-05-20 18:09:22,279 - __main__ - INFO - CPU: 35.8%, Memory: 88.5% (Available: 1.58 GB)
2025-05-20 18:09:22,279 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:27,360 - __main__ - INFO - CPU: 39.2%, Memory: 73.2% (Available: 3.68 GB)
2025-05-20 18:09:27,361 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:32,439 - __main__ - INFO - CPU: 33.1%, Memory: 76.6% (Available: 3.20 GB)
2025-05-20 18:09:32,439 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:37,535 - __main__ - INFO - CPU: 30.8%, Memory: 86.2% (Available: 1.89 GB)
2025-05-20 18:09:37,535 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:42,621 - __main__ - INFO - CPU: 39.2%, Memory: 83.4% (Available: 2.27 GB)
2025-05-20 18:09:42,621 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:47,706 - __main__ - INFO - CPU: 51.2%, Memory: 80.4% (Available: 2.69 GB)
2025-05-20 18:09:47,706 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:52,791 - __main__ - INFO - CPU: 28.2%, Memory: 80.5% (Available: 2.68 GB)
2025-05-20 18:09:52,792 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:57,865 - __main__ - INFO - CPU: 33.4%, Memory: 79.6% (Available: 2.80 GB)
2025-05-20 18:09:57,866 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:02,956 - __main__ - INFO - CPU: 42.7%, Memory: 81.2% (Available: 2.58 GB)
2025-05-20 18:10:02,957 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:08,051 - __main__ - INFO - CPU: 53.8%, Memory: 91.9% (Available: 1.11 GB)
2025-05-20 18:10:08,052 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:13,131 - __main__ - INFO - CPU: 36.7%, Memory: 73.1% (Available: 3.68 GB)
2025-05-20 18:10:13,131 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:18,234 - __main__ - INFO - CPU: 26.9%, Memory: 74.4% (Available: 3.51 GB)
2025-05-20 18:10:18,234 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:23,319 - __main__ - INFO - CPU: 39.7%, Memory: 86.2% (Available: 1.89 GB)
2025-05-20 18:10:23,319 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:28,410 - __main__ - INFO - CPU: 26.0%, Memory: 87.3% (Available: 1.74 GB)
2025-05-20 18:10:28,411 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:33,510 - __main__ - INFO - CPU: 33.0%, Memory: 87.5% (Available: 1.72 GB)
2025-05-20 18:10:33,510 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:38,604 - __main__ - INFO - CPU: 28.4%, Memory: 82.9% (Available: 2.34 GB)
2025-05-20 18:10:38,604 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:43,685 - __main__ - INFO - CPU: 28.0%, Memory: 82.6% (Available: 2.38 GB)
2025-05-20 18:10:43,685 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:48,776 - __main__ - INFO - CPU: 28.7%, Memory: 85.0% (Available: 2.05 GB)
2025-05-20 18:10:48,777 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:53,856 - __main__ - INFO - CPU: 38.2%, Memory: 84.2% (Available: 2.17 GB)
2025-05-20 18:10:53,857 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:10:58,955 - __main__ - INFO - CPU: 51.3%, Memory: 80.0% (Available: 2.75 GB)
2025-05-20 18:10:58,957 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:04,040 - __main__ - INFO - CPU: 41.7%, Memory: 77.8% (Available: 3.04 GB)
2025-05-20 18:11:04,040 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:09,109 - __main__ - INFO - CPU: 26.9%, Memory: 79.4% (Available: 2.83 GB)
2025-05-20 18:11:09,109 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:14,200 - __main__ - INFO - CPU: 24.2%, Memory: 95.1% (Available: 0.67 GB)
2025-05-20 18:11:14,201 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:19,326 - __main__ - INFO - CPU: 31.5%, Memory: 95.1% (Available: 0.67 GB)
2025-05-20 18:11:19,327 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:24,426 - __main__ - INFO - CPU: 44.5%, Memory: 93.7% (Available: 0.86 GB)
2025-05-20 18:11:24,427 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:29,496 - __main__ - INFO - CPU: 23.9%, Memory: 82.7% (Available: 2.37 GB)
2025-05-20 18:11:29,497 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:35,195 - __main__ - INFO - CPU: 39.8%, Memory: 98.6% (Available: 0.20 GB)
2025-05-20 18:11:35,196 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:41,246 - __main__ - INFO - CPU: 49.8%, Memory: 91.2% (Available: 1.20 GB)
2025-05-20 18:11:41,247 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=6.0%
2025-05-20 18:11:46,340 - __main__ - INFO - CPU: 52.6%, Memory: 52.3% (Available: 6.54 GB)
2025-05-20 18:11:46,340 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:51,471 - __main__ - INFO - CPU: 48.3%, Memory: 54.0% (Available: 6.30 GB)
2025-05-20 18:11:51,472 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:11:56,658 - __main__ - INFO - CPU: 54.8%, Memory: 56.5% (Available: 5.96 GB)
2025-05-20 18:11:56,658 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:01,774 - __main__ - INFO - CPU: 52.9%, Memory: 58.9% (Available: 5.63 GB)
2025-05-20 18:12:01,774 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:06,921 - __main__ - INFO - CPU: 47.1%, Memory: 56.3% (Available: 6.00 GB)
2025-05-20 18:12:06,921 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:11,983 - __main__ - INFO - CPU: 52.5%, Memory: 57.2% (Available: 5.87 GB)
2025-05-20 18:12:11,984 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:17,042 - __main__ - INFO - CPU: 20.9%, Memory: 57.1% (Available: 5.88 GB)
2025-05-20 18:12:17,042 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:22,130 - __main__ - INFO - CPU: 18.6%, Memory: 57.5% (Available: 5.83 GB)
2025-05-20 18:12:22,132 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:27,203 - __main__ - INFO - CPU: 22.0%, Memory: 59.0% (Available: 5.62 GB)
2025-05-20 18:12:27,203 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:32,298 - __main__ - INFO - CPU: 21.4%, Memory: 59.5% (Available: 5.56 GB)
2025-05-20 18:12:32,299 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:37,389 - __main__ - INFO - CPU: 18.8%, Memory: 59.5% (Available: 5.55 GB)
